City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,muhos,0,FI,1647875340,77,64.808,25.9931,42.58,9.17
1,beyneu,26,KZ,1647875341,59,45.3167,55.2,37.04,14.97
2,tasiilaq,0,GL,1647875341,56,65.6145,-37.6368,21.36,3.38
3,hermanus,0,ZA,1647875341,67,-34.4187,19.2345,78.8,17.36
4,vila franca do campo,64,PT,1647875343,67,37.7167,-25.4333,61.2,16.35
5,lebu,52,CL,1647875343,76,-37.6167,-73.65,60.17,3.24
6,albany,71,US,1647875344,69,42.6001,-73.9662,46.81,13.91
7,kahului,100,US,1647875102,82,20.8947,-156.47,73.42,3.44
8,sao joao da barra,87,BR,1647875344,79,-21.6403,-41.0511,73.49,19.91
9,tyup,94,KG,1647875345,65,42.7276,78.3648,32.83,2.62
10,vaini,100,TO,1647875346,80,-21.2,-175.2,79.59,14.58
11,kalengwa,100,ZM,1647875348,89,-13.4659,25.0027,70.29,5.35
12,qaanaaq,100,GL,1647875348,86,77.484,-69.3632,-4.0,10.38
13,jamestown,0,US,1647875350,40,42.097,-79.2353,51.03,8.05
14,punta arenas,100,CL,1647875350,66,-53.15,-70.9167,50.11,28.77
15,atuona,37,PF,1647875350,80,-9.8,-139.0333,78.87,17.81
16,westerland,0,DE,1647875352,50,54.9079,8.3033,55.02,6.91
17,souillac,57,MU,1647875352,87,-20.5167,57.5167,79.11,6.69
18,mataura,90,NZ,1647875352,83,-46.1927,168.8643,57.78,8.32
19,nhulunbuy,85,AU,1647875353,94,-12.2333,136.7667,79.41,4.61
20,rikitea,1,PF,1647875353,72,-23.1203,-134.9692,79.54,14.76
21,iqaluit,100,CA,1647875356,70,63.7506,-68.5145,-2.31,1.54
22,hasaki,100,JP,1647875356,62,35.7333,140.8333,46.8,10.87
23,castro,75,BR,1647875357,67,-24.7911,-50.0119,67.57,11.65
24,kozhva,10,RU,1647875357,97,65.1073,57.0459,8.94,3.24
25,kedrovyy,93,RU,1647875357,83,56.1667,91.8167,25.21,8.21
26,georgetown,20,MY,1647875106,65,5.4112,100.3354,82.33,2.3
27,ribeira grande,40,PT,1647875358,58,38.5167,-28.7,59.4,23.02
28,verkhoyansk,40,RU,1647875195,100,67.5447,133.385,-23.49,3.06
29,campbell river,100,CA,1647875359,100,50.0163,-125.2446,41.59,10.36
30,kapaa,0,US,1647875359,100,22.0752,-159.319,69.78,8.05
31,saskylakh,99,RU,1647875360,99,71.9167,114.0833,-0.02,2.59
32,berberati,49,CF,1647875360,19,4.2612,15.7922,99.9,3.67
33,luderitz,4,NA,1647875360,56,-26.6481,15.1594,81.03,17.49
